"CruiseKey"	"StationKey"	"HaulKey"	"SpeciesCategoryKey"	"SpeciesCategory"
"NA/19/2020/9000/30"	"1"	"38001"	"makrell/172414/127023/NA"	"makrell/172414/127023/NA"
"NA/19/2020/9000/30"	"2"	"38002"	"makrell/172414/127023/NA"	"makrell/172414/127023/NA"
"NA/19/2020/9000/30"	"3"	"38003"	"makrell/172414/127023/NA"	"makrell/172414/127023/NA"
"NA/19/2020/9000/30"	"4"	"38004"	"makrell/172414/127023/NA"	"makrell/172414/127023/NA"
"NA/19/2020/9000/30"	"31"	"38031"	"makrell/172414/127023/NA"	"makrell/172414/127023/NA"
"NA/19/2020/9000/30"	"32"	"38032"	"makrell/172414/127023/NA"	"makrell/172414/127023/NA"
"NA/19/2020/9000/30"	"33"	"38033"	"makrell/172414/127023/NA"	"makrell/172414/127023/NA"
"NA/19/2020/9000/30"	"34"	"38034"	"makrell/172414/127023/NA"	"makrell/172414/127023/NA"
"NA/19/2020/9000/30"	"35"	"38035"	"makrell/172414/127023/NA"	"makrell/172414/127023/NA"
"NA/19/2020/9000/30"	"36"	"38036"	"makrell/172414/127023/NA"	"makrell/172414/127023/NA"
"NA/19/2020/9000/30"	"45"	"38045"	"makrell/172414/127023/NA"	"makrell/172414/127023/NA"
"NA/19/2020/9000/30"	"47"	"38047"	"makrell/172414/127023/NA"	"makrell/172414/127023/NA"
"NA/19/2020/9000/30"	"48"	"38048"	"makrell/172414/127023/NA"	"makrell/172414/127023/NA"
"NA/19/2020/9000/30"	"49"	"38049"	"makrell/172414/127023/NA"	"makrell/172414/127023/NA"
"NA/19/2020/9000/30"	"50"	"38050"	"makrell/172414/127023/NA"	"makrell/172414/127023/NA"
"NA/19/2020/9000/30"	"51"	"38051"	"makrell/172414/127023/NA"	"makrell/172414/127023/NA"
"NA/19/2020/9000/30"	"52"	"38052"	"makrell/172414/127023/NA"	"makrell/172414/127023/NA"
"NA/19/2020/9000/30"	"53"	"38053"	"makrell/172414/127023/NA"	"makrell/172414/127023/NA"
"NA/19/2020/9000/30"	"54"	"38054"	"makrell/172414/127023/NA"	"makrell/172414/127023/NA"
"NA/19/2020/9000/30"	"55"	"38055"	"makrell/172414/127023/NA"	"makrell/172414/127023/NA"
"NA/19/2020/9000/30"	"56"	"38056"	"makrell/172414/127023/NA"	"makrell/172414/127023/NA"
"NA/19/2020/9000/30"	"57"	"38057"	"makrell/172414/127023/NA"	"makrell/172414/127023/NA"
"NA/19/2020/9000/30"	"58"	"38058"	"makrell/172414/127023/NA"	"makrell/172414/127023/NA"
"NA/19/2020/9000/30"	"59"	"38059"	"makrell/172414/127023/NA"	"makrell/172414/127023/NA"
"NA/19/2020/9000/30"	"60"	"38060"	"makrell/172414/127023/NA"	"makrell/172414/127023/NA"
"NA/19/2020/9000/30"	"61"	"38061"	"makrell/172414/127023/NA"	"makrell/172414/127023/NA"
"NA/19/2020/9000/30"	"62"	"38062"	"makrell/172414/127023/NA"	"makrell/172414/127023/NA"
"NA/19/2020/9000/30"	"63"	"38063"	"makrell/172414/127023/NA"	"makrell/172414/127023/NA"
"NA/19/2020/9000/30"	"64"	"38064"	"makrell/172414/127023/NA"	"makrell/172414/127023/NA"
"NA/19/2020/9000/30"	"65"	"38065"	"makrell/172414/127023/NA"	"makrell/172414/127023/NA"
"NA/19/2020/9000/30"	"66"	"38066"	"makrell/172414/127023/NA"	"makrell/172414/127023/NA"
"NA/19/2020/9000/30"	"67"	"38067"	"makrell/172414/127023/NA"	"makrell/172414/127023/NA"
"NA/19/2020/9000/30"	"68"	"38068"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2020/9000/30"	"69"	"38069"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2020/9000/30"	"80"	"38080"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2020/9000/30"	"81"	"38081"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2020/9000/30"	"82"	"38082"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2020/9000/30"	"83"	"38083"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2020/9000/30"	"84"	"38084"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2020/9000/30"	"85"	"38085"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2020/9000/30"	"86"	"38086"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2020/9000/30"	"87"	"38087"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2020/9000/30"	"88"	"38088"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2020/9000/30"	"89"	"38089"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2020/9000/30"	"90"	"38090"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2020/9000/30"	"91"	"38091"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
