"CruiseKey"	"StationKey"	"HaulKey"	"SpeciesCategoryKey"	"SampleKey"	"Sample"	"CatchFractionWeight"	"CatchFractionNumber"	"SampleWeight"	"SampleNumber"	"sampleproducttype"	"lengthmeasurement"
"NA/19/2020/9000/30"	"1"	"38001"	"makrell/172414/127023/NA"	"1"	"NA/19/2020/9000/30-1-38001-makrell/172414/127023/NA-1"	220000	511474	13.334	31	"1"	"F"
"NA/19/2020/9000/30"	"2"	"38002"	"makrell/172414/127023/NA"	"2"	"NA/19/2020/9000/30-2-38002-makrell/172414/127023/NA-2"	255000	595702	6.421	15	"1"	"F"
"NA/19/2020/9000/30"	"3"	"38003"	"makrell/172414/127023/NA"	"1"	"NA/19/2020/9000/30-3-38003-makrell/172414/127023/NA-1"	2e+05	517034	10.831	28	"1"	"F"
"NA/19/2020/9000/30"	"4"	"38004"	"makrell/172414/127023/NA"	"1"	"NA/19/2020/9000/30-4-38004-makrell/172414/127023/NA-1"	3e+05	750000	10.4	26	"1"	"F"
"NA/19/2020/9000/30"	"31"	"38031"	"makrell/172414/127023/NA"	"2"	"NA/19/2020/9000/30-31-38031-makrell/172414/127023/NA-2"	150000	362791	10.75	26	"1"	"F"
"NA/19/2020/9000/30"	"32"	"38032"	"makrell/172414/127023/NA"	"1"	"NA/19/2020/9000/30-32-38032-makrell/172414/127023/NA-1"	225000	591500	13.694	36	"1"	"F"
"NA/19/2020/9000/30"	"33"	"38033"	"makrell/172414/127023/NA"	"2"	"NA/19/2020/9000/30-33-38033-makrell/172414/127023/NA-2"	255000	556506	16.954	37	"1"	"F"
"NA/19/2020/9000/30"	"34"	"38034"	"makrell/172414/127023/NA"	"2"	"NA/19/2020/9000/30-34-38034-makrell/172414/127023/NA-2"	55000	114558	13.443	28	"1"	"F"
"NA/19/2020/9000/30"	"35"	"38035"	"makrell/172414/127023/NA"	"2"	"NA/19/2020/9000/30-35-38035-makrell/172414/127023/NA-2"	410000	960285	9.82	23	"1"	"F"
"NA/19/2020/9000/30"	"36"	"38036"	"makrell/172414/127023/NA"	"1"	"NA/19/2020/9000/30-36-38036-makrell/172414/127023/NA-1"	380000	850746	14.74	33	"1"	"F"
"NA/19/2020/9000/30"	"45"	"38045"	"makrell/172414/127023/NA"	"1"	"NA/19/2020/9000/30-45-38045-makrell/172414/127023/NA-1"	430000	961229	14.315	32	"1"	"F"
"NA/19/2020/9000/30"	"47"	"38047"	"makrell/172414/127023/NA"	"3"	"NA/19/2020/9000/30-47-38047-makrell/172414/127023/NA-3"	5e+05	1157876	17.273	40	"1"	"F"
"NA/19/2020/9000/30"	"48"	"38048"	"makrell/172414/127023/NA"	"3"	"NA/19/2020/9000/30-48-38048-makrell/172414/127023/NA-3"	230000	548926	12.151	29	"1"	"F"
"NA/19/2020/9000/30"	"49"	"38049"	"makrell/172414/127023/NA"	"2"	"NA/19/2020/9000/30-49-38049-makrell/172414/127023/NA-2"	5e+05	1191164	13.852	33	"1"	"F"
"NA/19/2020/9000/30"	"50"	"38050"	"makrell/172414/127023/NA"	"2"	"NA/19/2020/9000/30-50-38050-makrell/172414/127023/NA-2"	298000	671283	11.986	27	"1"	"F"
"NA/19/2020/9000/30"	"51"	"38051"	"makrell/172414/127023/NA"	"2"	"NA/19/2020/9000/30-51-38051-makrell/172414/127023/NA-2"	575000	1170050	21.623	44	"1"	"F"
"NA/19/2020/9000/30"	"52"	"38052"	"makrell/172414/127023/NA"	"1"	"NA/19/2020/9000/30-52-38052-makrell/172414/127023/NA-1"	3e+05	685835	11.373	26	"1"	"F"
"NA/19/2020/9000/30"	"53"	"38053"	"makrell/172414/127023/NA"	"1"	"NA/19/2020/9000/30-53-38053-makrell/172414/127023/NA-1"	2e+05	418664	14.809	31	"1"	"F"
"NA/19/2020/9000/30"	"54"	"38054"	"makrell/172414/127023/NA"	"1"	"NA/19/2020/9000/30-54-38054-makrell/172414/127023/NA-1"	580000	1391258	7.504	18	"1"	"F"
"NA/19/2020/9000/30"	"55"	"38055"	"makrell/172414/127023/NA"	"1"	"NA/19/2020/9000/30-55-38055-makrell/172414/127023/NA-1"	4e+05	1053892	12.525	33	"1"	"F"
"NA/19/2020/9000/30"	"56"	"38056"	"makrell/172414/127023/NA"	"1"	"NA/19/2020/9000/30-56-38056-makrell/172414/127023/NA-1"	165000	394661	20.904	50	"1"	"F"
"NA/19/2020/9000/30"	"57"	"38057"	"makrell/172414/127023/NA"	"1"	"NA/19/2020/9000/30-57-38057-makrell/172414/127023/NA-1"	335000	712892	16.917	36	"1"	"F"
"NA/19/2020/9000/30"	"58"	"38058"	"makrell/172414/127023/NA"	"2"	"NA/19/2020/9000/30-58-38058-makrell/172414/127023/NA-2"	2e+05	435414	9.646	21	"1"	"F"
"NA/19/2020/9000/30"	"59"	"38059"	"makrell/172414/127023/NA"	"1"	"NA/19/2020/9000/30-59-38059-makrell/172414/127023/NA-1"	350000	762953	17.891	39	"1"	"F"
"NA/19/2020/9000/30"	"60"	"38060"	"makrell/172414/127023/NA"	"2"	"NA/19/2020/9000/30-60-38060-makrell/172414/127023/NA-2"	70000	153103	10.973	24	"1"	"F"
"NA/19/2020/9000/30"	"61"	"38061"	"makrell/172414/127023/NA"	"2"	"NA/19/2020/9000/30-61-38061-makrell/172414/127023/NA-2"	225000	442268	13.736	27	"1"	"F"
"NA/19/2020/9000/30"	"62"	"38062"	"makrell/172414/127023/NA"	"1"	"NA/19/2020/9000/30-62-38062-makrell/172414/127023/NA-1"	410000	933645	15.809	36	"1"	"F"
"NA/19/2020/9000/30"	"63"	"38063"	"makrell/172414/127023/NA"	"2"	"NA/19/2020/9000/30-63-38063-makrell/172414/127023/NA-2"	295000	787908	8.237	22	"1"	"F"
"NA/19/2020/9000/30"	"64"	"38064"	"makrell/172414/127023/NA"	"1"	"NA/19/2020/9000/30-64-38064-makrell/172414/127023/NA-1"	285000	582253	11.258	23	"1"	"F"
"NA/19/2020/9000/30"	"65"	"38065"	"makrell/172414/127023/NA"	"1"	"NA/19/2020/9000/30-65-38065-makrell/172414/127023/NA-1"	249000	537565	11.58	25	"1"	"F"
"NA/19/2020/9000/30"	"66"	"38066"	"makrell/172414/127023/NA"	"1"	"NA/19/2020/9000/30-66-38066-makrell/172414/127023/NA-1"	190000	404010	16.46	35	"1"	"F"
"NA/19/2020/9000/30"	"67"	"38067"	"makrell/172414/127023/NA"	"3"	"NA/19/2020/9000/30-67-38067-makrell/172414/127023/NA-3"	6e+05	1457321	11.528	28	"1"	"F"
"NA/19/2020/9000/30"	"68"	"38068"	"makrell/172414/127023/Scomber scombrus"	"2"	"NA/19/2020/9000/30-68-38068-makrell/172414/127023/Scomber scombrus-2"	2e+05	451931	14.604	33	"1"	"F"
"NA/19/2020/9000/30"	"69"	"38069"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2020/9000/30-69-38069-makrell/172414/127023/Scomber scombrus-1"	750000	1743874	22.364	52	"1"	"F"
"NA/19/2020/9000/30"	"80"	"38080"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2020/9000/30-80-38080-makrell/172414/127023/Scomber scombrus-1"	450000	1001378	9.437	21	"1"	"F"
"NA/19/2020/9000/30"	"81"	"38081"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2020/9000/30-81-38081-makrell/172414/127023/Scomber scombrus-1"	190000	409581	8.35	18	"1"	"F"
"NA/19/2020/9000/30"	"82"	"38082"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2020/9000/30-82-38082-makrell/172414/127023/Scomber scombrus-1"	330000	735206	18.403	41	"1"	"F"
"NA/19/2020/9000/30"	"83"	"38083"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2020/9000/30-83-38083-makrell/172414/127023/Scomber scombrus-1"	4e+05	824039	14.077	29	"1"	"F"
"NA/19/2020/9000/30"	"84"	"38084"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2020/9000/30-84-38084-makrell/172414/127023/Scomber scombrus-1"	520000	1232958	5.061	12	"1"	"F"
"NA/19/2020/9000/30"	"85"	"38085"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2020/9000/30-85-38085-makrell/172414/127023/Scomber scombrus-1"	6e+05	1398360	11.585	27	"1"	"F"
"NA/19/2020/9000/30"	"86"	"38086"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2020/9000/30-86-38086-makrell/172414/127023/Scomber scombrus-1"	560000	1227209	11.408	25	"1"	"F"
"NA/19/2020/9000/30"	"87"	"38087"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2020/9000/30-87-38087-makrell/172414/127023/Scomber scombrus-1"	240000	517480	12.986	28	"1"	"F"
